MIN_HOLD_DAYS,SCORE_HOLD_ZONE,BULL_SELL_DIV,BULL_BUY_MULT,TRADE_TARGET_DELTA,MAX_POSITION,CONFIRMATION_THRESHOLD,strategy_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,avg_hold_days,excess_return,profit_factor,expectancy
10,20,0.12,1.3,0.02,0.95,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,15,0.3,1.8,0.05,0.95,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,20,0.12,1.3,0.02,0.95,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.12,1.3,0.05,0.85,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.12,1.3,0.05,0.95,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.12,1.3,0.05,0.85,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.12,1.3,0.05,0.95,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.12,1.5,0.02,0.85,65,0.188796,0.926247,-0.137812,0.768358,0.761905,21,17.761905,-0.128697,2.697887,1.148095
10,20,0.12,1.5,0.02,0.95,65,0.188796,0.926247,-0.137812,0.768358,0.761905,21,17.761905,-0.128697,2.697887,1.148095
10,20,0.12,1.5,0.05,0.85,65,0.189423,0.928626,-0.137812,0.77082,0.761905,21,17.761905,-0.12807,2.697887,1.148095
10,20,0.12,1.5,0.02,0.85,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.12,1.5,0.02,0.95,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.12,1.5,0.05,0.85,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.12,1.5,0.05,0.95,65,0.189423,0.928626,-0.137812,0.77082,0.761905,21,17.761905,-0.12807,2.697887,1.148095
10,20,0.12,1.5,0.05,0.95,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.12,1.8,0.02,0.85,65,0.211703,0.937801,-0.131331,0.900327,0.631579,19,20.789474,-0.10579,2.036257,0.932632
10,20,0.12,1.8,0.02,0.85,75,0.202542,0.884246,-0.130365,0.869194,0.684211,19,19.578947,-0.114951,2.544837,1.196842
10,20,0.12,1.8,0.02,0.95,65,0.211703,0.937801,-0.131331,0.900327,0.631579,19,20.789474,-0.10579,2.036257,0.932632
10,20,0.12,1.8,0.02,0.95,75,0.202542,0.884246,-0.130365,0.869194,0.684211,19,19.578947,-0.114951,2.544837,1.196842
10,20,0.12,1.8,0.05,0.85,75,0.202542,0.884246,-0.130365,0.869194,0.684211,19,19.578947,-0.114951,2.544837,1.196842
10,20,0.12,1.8,0.05,0.95,75,0.202542,0.884246,-0.130365,0.869194,0.684211,19,19.578947,-0.114951,2.544837,1.196842
10,20,0.12,1.8,0.05,0.85,65,0.211703,0.937801,-0.131331,0.900327,0.631579,19,20.789474,-0.10579,2.036257,0.932632
10,20,0.12,1.8,0.05,0.95,65,0.211703,0.937801,-0.131331,0.900327,0.631579,19,20.789474,-0.10579,2.036257,0.932632
10,20,0.2,1.3,0.02,0.85,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.2,1.3,0.02,0.85,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.2,1.3,0.02,0.95,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.2,1.3,0.02,0.95,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.2,1.3,0.05,0.85,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.2,1.3,0.05,0.85,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.2,1.5,0.02,0.85,65,0.188796,0.926247,-0.137812,0.768358,0.761905,21,17.761905,-0.128697,2.697887,1.148095
10,20,0.2,1.3,0.05,0.95,75,0.150225,0.820793,-0.13665,0.621022,0.75,16,16.0,-0.167268,4.789916,1.1275
10,20,0.2,1.3,0.05,0.95,65,0.169459,0.945765,-0.13665,0.698017,0.733333,15,16.2,-0.148034,5.485294,1.423333
10,20,0.2,1.5,0.02,0.95,65,0.188796,0.926247,-0.137812,0.768358,0.761905,21,17.761905,-0.128697,2.697887,1.148095
10,20,0.2,1.5,0.05,0.85,65,0.189423,0.928626,-0.137812,0.77082,0.761905,21,17.761905,-0.12807,2.697887,1.148095
10,20,0.2,1.5,0.02,0.85,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.2,1.5,0.02,0.95,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.2,1.5,0.05,0.85,75,0.161865,0.794213,-0.135763,0.672044,0.75,20,19.45,-0.155628,2.115911,0.775
10,20,0.2,1.5,0.05,0.95,65,0.189423,0.928626,-0.137812,0.77082,0.761905,21,17.761905,-0.12807,2.697887,1.148095
